onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
171.543	0.0	Stimulus/S200	131	171543
174.444	0.0	Stimulus/S111	112	174444
175.644	0.0	Stimulus/S 56	57	175644
176.843	0.0	Stimulus/S112	113	176843
177.944	0.0	Stimulus/S129	130	177944
178.319	0.0	Stimulus/S222	132	178319
179.442	0.0	Stimulus/S 90	91	179442
180.641	0.0	Stimulus/S 45	46	180641
181.941	0.0	Stimulus/S 18	19	181941
183.24	0.0	Stimulus/S 51	52	183240
184.54	0.0	Stimulus/S116	117	184540
185.64	0.0	Stimulus/S129	130	185640
186.063	0.0	Stimulus/S222	132	186063
187.139	0.0	Stimulus/S 22	23	187139
188.439	0.0	Stimulus/S 94	95	188439
189.539	0.0	Stimulus/S 14	15	189539
190.738	0.0	Stimulus/S 96	97	190738
192.037	0.0	Stimulus/S 48	49	192037
193.238	0.0	Stimulus/S129	130	193238
193.807	0.0	Stimulus/S222	132	193807
194.737	0.0	Stimulus/S 44	45	194737
196.036	0.0	Stimulus/S112	113	196036
197.336	0.0	Stimulus/S 80	81	197336
198.536	0.0	Stimulus/S 23	24	198536
199.735	0.0	Stimulus/S129	130	199735
200.143	0.0	Stimulus/S222	132	200143
201.235	0.0	Stimulus/S 73	74	201235
202.534	0.0	Stimulus/S 44	45	202534
203.634	0.0	Stimulus/S 68	69	203634
204.834	0.0	Stimulus/S110	111	204834
206.133	0.0	Stimulus/S 33	34	206133
207.233	0.0	Stimulus/S129	130	207233
207.567	0.0	Stimulus/S222	132	207567
208.732	0.0	Stimulus/S  2	3	208732
209.832	0.0	Stimulus/S119	120	209832
211.032	0.0	Stimulus/S 73	74	211032
212.331	0.0	Stimulus/S 30	31	212331
213.531	0.0	Stimulus/S129	130	213531
213.871	0.0	Stimulus/S222	132	213871
215.03	0.0	Stimulus/S127	128	215030
216.147	0.0	Stimulus/S 11	12	216147
217.446	0.0	Stimulus/S 31	32	217446
218.646	0.0	Stimulus/S129	130	218646
219.023	0.0	Stimulus/S222	132	219023
220.145	0.0	Stimulus/S 62	63	220145
221.445	0.0	Stimulus/S 21	22	221445
222.744	0.0	Stimulus/S123	124	222744
223.944	0.0	Stimulus/S 28	29	223944
225.144	0.0	Stimulus/S 23	24	225144
226.243	0.0	Stimulus/S129	130	226243
226.607	0.0	Stimulus/S222	132	226607
227.743	0.0	Stimulus/S100	101	227743
229.042	0.0	Stimulus/S118	119	229042
230.342	0.0	Stimulus/S 91	92	230342
231.542	0.0	Stimulus/S 30	31	231542
232.641	0.0	Stimulus/S  8	9	232641
233.741	0.0	Stimulus/S129	130	233741
234.111	0.0	Stimulus/S222	132	234111
235.24	0.0	Stimulus/S 12	13	235240
236.54	0.0	Stimulus/S  1	2	236540
237.839	0.0	Stimulus/S  9	10	237839
239.139	0.0	Stimulus/S 38	39	239139
240.439	0.0	Stimulus/S  7	8	240439
241.738	0.0	Stimulus/S129	130	241738
242.063	0.0	Stimulus/S222	132	242063
243.238	0.0	Stimulus/S  5	6	243238
244.338	0.0	Stimulus/S 78	79	244338
245.637	0.0	Stimulus/S 54	55	245637
246.837	0.0	Stimulus/S129	130	246837
247.263	0.0	Stimulus/S222	132	247263
248.336	0.0	Stimulus/S106	107	248336
249.436	0.0	Stimulus/S 84	85	249436
250.635	0.0	Stimulus/S 77	78	250635
251.835	0.0	Stimulus/S129	130	251835
252.207	0.0	Stimulus/S222	132	252207
253.334	0.0	Stimulus/S 82	83	253334
254.434	0.0	Stimulus/S 43	44	254434
255.534	0.0	Stimulus/S 40	41	255534
256.833	0.0	Stimulus/S 25	26	256833
258.133	0.0	Stimulus/S 47	48	258133
259.233	0.0	Stimulus/S129	130	259233
259.551	0.0	Stimulus/S222	132	259551
260.732	0.0	Stimulus/S117	118	260732
261.932	0.0	Stimulus/S 52	53	261932
263.132	0.0	Stimulus/S 85	86	263132
264.331	0.0	Stimulus/S116	117	264331
265.53	0.0	Stimulus/S129	130	265530
265.855	0.0	Stimulus/S222	132	265855
267.047	0.0	Stimulus/S 96	97	267047
268.346	0.0	Stimulus/S 73	74	268346
269.446	0.0	Stimulus/S 36	37	269446
270.646	0.0	Stimulus/S 59	60	270646
271.845	0.0	Stimulus/S129	130	271845
272.175	0.0	Stimulus/S222	132	272175
273.344	0.0	Stimulus/S 46	47	273344
274.644	0.0	Stimulus/S 79	80	274644
275.944	0.0	Stimulus/S 56	57	275944
277.243	0.0	Stimulus/S 87	88	277243
278.443	0.0	Stimulus/S129	130	278443
278.847	0.0	Stimulus/S222	132	278847
279.942	0.0	Stimulus/S 57	58	279942
281.242	0.0	Stimulus/S 56	57	281242
282.442	0.0	Stimulus/S 92	93	282442
283.541	0.0	Stimulus/S 80	81	283541
284.741	0.0	Stimulus/S 10	11	284741
285.841	0.0	Stimulus/S129	130	285841
286.207	0.0	Stimulus/S222	132	286207
287.34	0.0	Stimulus/S 38	39	287340
288.54	0.0	Stimulus/S118	119	288540
289.839	0.0	Stimulus/S 12	13	289839
290.939	0.0	Stimulus/S 62	63	290939
292.139	0.0	Stimulus/S 41	42	292139
